audio_path_english,translation_english,audio_path_korean,translation_korean,mfcc_features,english_sequence,korean_sequence
english_audio/49.mp3,The flowers are in full bloom.,korean_audio/49.mp3,꽃들이 만발해 있어요.,"[[-591    0    0 ...    0    0    0]
 [-480   75  -13 ...   -4    2    2]
 [-270  138  -20 ...  -14    0    0]
 ...
 [-592    0    0 ...    0    0    0]
 [-592    0    0 ...    0    0    0]
 [-592    0    0 ...    0    0    0]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
english_audio/31.mp3,What's your favorite holiday?,korean_audio/31.mp3,가장 좋아하는 휴일 뭐에요?,"[[-577    0    0 ...    0    0    0]
 [-577    0    0 ...    0    0    0]
 [-525   69   59 ...  -10   -7   -6]
 ...
 [   0    0    0 ...    0    0    0]
 [   0    0    0 ...    0    0    0]
 [   0    0    0 ...    0    0    0]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
english_audio/1.mp3,The beach is so relaxing.,korean_audio/1.mp3,해변은 너무 편안해요.,"[[-584    0    0 ...    0    0    0]
 [-584    0    0 ...    0    0    0]
 [-490   55   -7 ...   -2   -1    0]
 ...
 [-584    0    0 ...    0    0    0]
 [-584    0    0 ...    0    0    0]
 [   0    0    0 ...    0    0    0]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
english_audio/26.mp3,I have a doctor's appointment.,korean_audio/26.mp3,의사 약속이 있어요.,"[[-635    0    0 ...    0    0    0]
 [-596   46   27 ...   -6   -3   -1]
 [-314  187  -51 ...    7  -10  -15]
 ...
 [   0    0    0 ...    0    0    0]
 [   0    0    0 ...    0    0    0]
 [   0    0    0 ...    0    0    0]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
english_audio/7.mp3,I need a new pair of shoes.,korean_audio/7.mp3,새 신발이 필요해요.,"[[-571    0    0 ...    0    0    0]
 [-535   39   17 ...   -4   -3   -1]
 [-290  164  -47 ...    2  -14   -9]
 ...
 [-571    0    0 ...    0    0    0]
 [   0    0    0 ...    0    0    0]
 [   0    0    0 ...    0    0    0]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
english_audio/24.mp3,I'm going for a walk.,korean_audio/24.mp3,산책 갈 거에요.,"[[-576    0    0 ...    0    0    0]
 [-545   35   19 ...   -5   -5   -4]
 [-288  162  -45 ...    0   -9   -8]
 ...
 [   0    0    0 ...    0    0    0]
 [   0    0    0 ...    0    0    0]
 [   0    0    0 ...    0    0    0]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
english_audio/12.mp3,I like to go hiking in the mountains.,korean_audio/12.mp3,산에 등반하는 걸 좋아해요.,"[[-245  141  -87 ...  -21   14  -44]
 [-335  121  -29 ...  -10    9  -43]
 [-419   96   -7 ...   -7    0  -15]
 ...
 [-622    0    0 ...    0    0    0]
 [-622    0    0 ...    0    0    0]
 [-622    0    0 ...    0    0    0]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
english_audio/6.mp3,"Can I have some water, please?",korean_audio/6.mp3,물 좀 주세요.,"[[-456   52  -16 ...   15   -8   10]
 [-297   66  -35 ...    5    1   11]
 [-256   78  -26 ...    0    4    4]
 ...
 [-621    0    0 ...    0    0    0]
 [-621    0    0 ...    0    0    0]
 [-621    0    0 ...    0    0    0]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
english_audio/32.mp3,The cake tastes delicious.,korean_audio/32.mp3,케이크 맛이 너무 맛있어요.,"[[-598    0    0 ...    0    0    0]
 [-597    0    0 ...    0    0    0]
 [-497   70   -5 ...   -3   -1    2]
 ...
 [   0    0    0 ...    0    0    0]
 [   0    0    0 ...    0    0    0]
 [   0    0    0 ...    0    0    0]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
english_audio/27.mp3,Where can I find a good restaurant?,korean_audio/27.mp3,좋은 식당 어디서 찾을 수 있어요?,"[[-451  151  100 ...  -11   -4   -1]
 [-418  180   97 ...  -13   -2    0]
 [-363  193   41 ...  -19   -8   -8]
 ...
 [-573    0    0 ...    0    0    0]
 [-573    0    0 ...    0    0    0]
 [-573    0    0 ...    0    0    0]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
english_audio/45.mp3,I'm going to the gym.,korean_audio/45.mp3,체육관에 갈 거에요.,"[[-579    0    0 ...    0    0    0]
 [-569   14   13 ...   -1   -2   -2]
 [-301  172  -36 ...    4  -14   -9]
 ...
 [   0    0    0 ...    0    0    0]
 [   0    0    0 ...    0    0    0]
 [   0    0    0 ...    0    0    0]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
english_audio/43.mp3,The store is open until 9 PM.,korean_audio/43.mp3,가게는 9시까지 열려 있어요.,"[[-307  168  -48 ...   -8   37  -20]
 [-311  165  -56 ...  -10   29  -22]
 [-303  174  -59 ...  -12   21  -28]
 ...
 [-609    0    0 ...    0    0    0]
 [-609    0    0 ...    0    0    0]
 [-609    0    0 ...    0    0    0]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
english_audio/28.mp3,The cat is sleeping on the couch.,korean_audio/28.mp3,고양이가 소파 위에서 자고 있어요.,"[[-389  118   22 ...   -7    0  -15]
 [-427   52   -1 ...   -2   -7    3]
 [-289   47  -33 ...    2    6    8]
 ...
 [-589    0    0 ...    0    0    0]
 [-589    0    0 ...    0    0    0]
 [-589    0    0 ...    0    0    0]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
english_audio/33.mp3,I need to take a break.,korean_audio/33.mp3,쉬어야 돼요.,"[[-593    0    0 ...    0    0    0]
 [-569   29   20 ...   -4   -3   -2]
 [-295  169  -51 ...    0  -11  -13]
 ...
 [   0    0    0 ...    0    0    0]
 [   0    0    0 ...    0    0    0]
 [   0    0    0 ...    0    0    0]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
english_audio/36.mp3,I have to study for my exams.,korean_audio/36.mp3,시험 공부해야 돼요.,"[[-212  149 -104 ...   -1  -19   -5]
 [-192  171 -126 ...   -1  -17   -6]
 [-164  210 -136 ...   -7  -19  -11]
 ...
 [-617    0    0 ...    0    0    0]
 [-617    0    0 ...    0    0    0]
 [-617    0    0 ...    0    0    0]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
english_audio/13.mp3,What's your favorite sport?,korean_audio/13.mp3,가장 좋아하는 스포츠 뭐에요?,"[[-572    0    0 ...    0    0    0]
 [-572    0    0 ...    0    0    0]
 [-520   69   58 ...   -9   -7   -5]
 ...
 [   0    0    0 ...    0    0    0]
 [   0    0    0 ...    0    0    0]
 [   0    0    0 ...    0    0    0]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
english_audio/2.mp3,Are you coming to the party?,korean_audio/2.mp3,파티에 오세요?,"[[-602    0    0 ...    0    0    0]
 [-555   51   21 ...    0   -5  -10]
 [-318  194  -37 ...   -8   12  -22]
 ...
 [   0    0    0 ...    0    0    0]
 [   0    0    0 ...    0    0    0]
 [   0    0    0 ...    0    0    0]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
english_audio/42.mp3,I enjoy spending time with my friends.,korean_audio/42.mp3,친구들과 시간 보는 걸 즐겨요.,"[[-404  -50   53 ...  -29   25   27]
 [-393  -53   42 ...  -47   17   43]
 [-397  -28   47 ...  -47   14   40]
 ...
 [-597    0    0 ...    0    0    0]
 [-597    0    0 ...    0    0    0]
 [-597    0    0 ...    0    0    0]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
english_audio/3.mp3,I enjoy listening to music.,korean_audio/3.mp3,음악 듣는 걸 즐겨요.,"[[-575    0    0 ...    0    0    0]
 [-570    6    6 ...    1    1    0]
 [-302  169  -31 ...    8  -10  -10]
 ...
 [   0    0    0 ...    0    0    0]
 [   0    0    0 ...    0    0    0]
 [   0    0    0 ...    0    0    0]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
english_audio/17.mp3,Can you recommend a good movie?,korean_audio/17.mp3,좋은 영화 추천해 줄 수 있어요?,"[[-587    0    0 ...    0    0    0]
 [-586    1    1 ...    1    1    1]
 [-479   24   -7 ...    2   -2    5]
 ...
 [-587    0    0 ...    0    0    0]
 [-587    0    0 ...    0    0    0]
 [   0    0    0 ...    0    0    0]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
english_audio/8.mp3,Where did you go on vacation?,korean_audio/8.mp3,휴가 어디로 갔어요?,"[[-560    0    0 ...    0    0    0]
 [-560    0    0 ...    0    0    0]
 [-509   68   57 ...  -10   -6   -4]
 ...
 [   0    0    0 ...    0    0    0]
 [   0    0    0 ...    0    0    0]
 [   0    0    0 ...    0    0    0]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
english_audio/50.mp3,I want to visit new places.,korean_audio/50.mp3,새로운 곳을 방문하고 싶어요.,"[[-545    0    0 ...    0    0    0]
 [-518   30   14 ...   -6   -5   -3]
 [-281  157  -46 ...    2  -14  -10]
 ...
 [-545    0    0 ...    0    0    0]
 [-545    0    0 ...    0    0    0]
 [-545    0    0 ...    0    0    0]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
english_audio/15.mp3,I need to buy groceries.,korean_audio/15.mp3,식료품 사야 돼요.,"[[-605    0    0 ...    0    0    0]
 [-556   51   16 ...   -3   -5   -3]
 [-298  169  -52 ...    5  -14  -11]
 ...
 [   0    0    0 ...    0    0    0]
 [   0    0    0 ...    0    0    0]
 [   0    0    0 ...    0    0    0]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
english_audio/21.mp3,I want to learn to play the guitar.,korean_audio/21.mp3,기타 치는 법 배우고 싶어요.,"[[-584    0    0 ...    0    0    0]
 [-548   40   19 ...   -7   -5   -3]
 [-298  173  -45 ...    0  -13  -11]
 ...
 [-584    0    0 ...    0    0    0]
 [-584    0    0 ...    0    0    0]
 [-584    0    0 ...    0    0    0]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
